,w_loss
0,36.0
1,12.959999084472656
2,4.665599346160889
3,1.6796159744262695
4,0.604661762714386
5,0.2176782339811325
6,0.07836417108774185
7,0.028211098164319992
8,0.010155998170375824
9,0.00365615775808692
10,0.0013162150280550122
11,0.00047383690252900124
12,0.00017058159573934972
13,6.140919140307233e-05
14,2.2107420591055416e-05
15,7.958537025842816e-06
16,2.8650731564994203e-06
17,1.031450551636226e-06
18,3.712931402333197e-07
19,1.3367424855914578e-07
20,4.8112269723787904e-08
21,1.7320417100563645e-08
22,6.2372329523441294e-09
23,2.2454038628438866e-09
24,8.083453906237992e-10
25,2.9059776807116577e-10
26,1.0510348147363402e-10
27,3.7690739418394514e-11
28,1.3656631381309126e-11
29,4.863665026277886e-12
30,1.7195134205394424e-12
31,6.004086117172847e-13
32,2.2737367544323206e-13
33,8.881784197001252e-14
34,3.197442310920451e-14
35,1.4210854715202004e-14
36,3.552713678800501e-15
37,3.552713678800501e-15
38,3.552713678800501e-15
39,3.552713678800501e-15
